v_products_model	v_products_image	v_products_name_2	v_products_description_2	v_products_url_2	v_products_name_1	v_products_description_1	v_products_url_1	v_specials_price	v_specials_date_avail	v_specials_expires_date	v_products_price	v_products_weight	v_date_avail	v_date_added	v_products_quantity	v_manufacturers_name	v_categories_name_1	v_categories_name_2	v_categories_name_3	v_categories_name_4	v_categories_name_5	v_categories_name_6	v_categories_name_7	v_tax_class_title	v_status	EOREOR
Test120-25-New100	test_demo.jpg	TEST $120 Special 25% Sale New Price $100	Product is $120  <br /><br />  Special 25% or $90  <br /><br />  Sale Price is New Price $100  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Special 25% Sale New Price $100	Product is $120  <br /><br />  Special 25% or $90  <br /><br />  Sale Price is New Price $100  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		90.0000	0001-01-01	0001-01-01	120	1	0000-00-00 00:00:00	2004-01-06 00:04:31	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-New100-Off-Skip	test_demo.jpg	TEST $120 Special off Sale New Price $100 Skip Specials	Product is $120  <br /><br />  Special does not exist  <br /><br />  Sale Price is New Price $100  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Special off Sale New Price $100 Skip Specials	Product is $120  <br /><br />  Special does not exist  <br /><br />  Sale Price is New Price $100  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    Attributes are not affected by the Sale Discount Price when a New Price is used.  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />					120	1	0000-00-00 00:00:00	2004-01-07 02:36:52	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-90-10-Price	test_demo.jpg	TEST $120 Sale 10% Special - Apply to price	Product is $120  <br /><br />  Special is 25% or $90  <br /><br />  Sale Price is 10%  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Sale 10% Special - Apply to price	Product is $120  <br /><br />  Special is 25% or $90  <br /><br />  Sale Price is 10%  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		90.0000	0001-01-01	0001-01-01	120	1	0000-00-00 00:00:00	2004-01-07 11:26:34	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-90off-10-Price	test_demo.jpg	TEST $120 Sale 10% Special off - Apply to Price	Product is $120  <br /><br />  Special does not exist  <br /><br />  Sale Price is 10%  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Sale 10% Special off - Apply to Price	Product is $120  <br /><br />  Special does not exist  <br /><br />  Sale Price is 10%  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />					120	1	0000-00-00 00:00:00	2004-01-07 11:28:16	999		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
HIDEQTY	1_small.jpg	Hide Quantity Box	This product does not show the Quantity Box when Adding to the Shopping Cart.  <br /><br />    This will add 1 to the Shopping Cart when Add to Cart is hit.  <br /><br />    NOTE: If using Quantity Box Shows set to NO, unless Qty Max is also set to 1 then each time the Add to Cart is clicked the current cart quantity is updated by 1. If Qty Max is set to 1 then no more than 1 will be able to be added to the Shopping Cart per order.  <br /><br />    Because the Image name is: 1_small.jpg<br />  and stored in the /images directory ...  <br /><br />    The other matching images will show:  <br /><br />  /images/1_small_00.jpg<br />  /images/1_small_02.jpg<br />  /images/1_small_03.jpg  <br /><br />    The matching large images from /images/large will show:  <br /><br />  /images/large/1_small_00_LRG.jpg<br />  /images/large/1_small_02_LRG.jpg<br />  /images/large/1_small_03_LRG.jpg  <br /><br />    A matching image must begin with the same exact name as the Product Image and end in the same extension.  <br /><br />    These will then auto load.  <br /><br />		Hide Quantity Box	This product does not show the Quantity Box when Adding to the Shopping Cart.  <br /><br />    This will add 1 to the Shopping Cart when Add to Cart is hit.  <br /><br />    NOTE: If using Quantity Box Shows set to NO, unless Qty Max is also set to 1 then each time the Add to Cart is clicked the current cart quantity is updated by 1. If Qty Max is set to 1 then no more than 1 will be able to be added to the Shopping Cart per order.  <br /><br />    Because the Image name is: 1_small.jpg<br />  and stored in the /images directory ...  <br /><br />    The other matching images will show:  <br /><br />  /images/1_small_00.jpg<br />  /images/1_small_02.jpg<br />  /images/1_small_03.jpg  <br /><br />    The matching large images from /images/large will show:  <br /><br />  /images/large/1_small_00_LRG.jpg<br />  /images/large/1_small_02_LRG.jpg<br />  /images/large/1_small_03_LRG.jpg  <br /><br />    A matching image must begin with the same exact name as the Product Image and end in the same extension.  <br /><br />    These will then auto load.  <br /><br />					75	1	0000-00-00 00:00:00	2004-01-11 03:02:51	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
MAXSAMPLE-1	waybkgnd.gif	A Maximum Sample of 1	This product only allows Quantity 1 because the Products Qty Maximum is set to 1.  <br /><br />    This means there will be no Quantity box.  <br /><br />    Add button will not add more than a total of 1 to the Shopping Cart.  <br /><br />		A Maximum Sample of 1	This product only allows Quantity 1 because the Products Qty Maximum is set to 1.  <br /><br />    This means there will be no Quantity box.  <br /><br />    Add button will not add more than a total of 1 to the Shopping Cart.  <br /><br />					50	1	0000-00-00 00:00:00	2004-01-11 14:10:59	996		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
MAXSAMPLE-3	waybkgnd.gif	A Maximum Sample of 3	This product only allows Quantity 1 because the Products Qty Maximum is set to 3.  <br /><br />    This means there will be a Quantity box.  <br /><br />    Add button will not add more than a total of 3 to the Shopping Cart.  <br /><br />		A Maximum Sample of 3	This product only allows Quantity 1 because the Products Qty Maximum is set to 3.  <br /><br />    This means there will be a Quantity box.  <br /><br />    Add button will not add more than a total of 3 to the Shopping Cart.  <br /><br />					50	1	0000-00-00 00:00:00	2004-01-11 14:36:08	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-5SKIP	test_demo.jpg	TEST $120 Sale -$5.00 Skip	Product is $120  <br /><br />  Sale is -$5.00  <br /><br />  Specials are skipped  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Sale -$5.00 Skip	Product is $120  <br /><br />  Sale is -$5.00  <br /><br />  Specials are skipped  <br /><br />    Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />					120	1	0000-00-00 00:00:00	2004-01-24 16:09:52	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
Test120-90-5SKIP	test_demo.jpg	TEST $120 Special $90.00 Sale -$5.00 Skip	Product is $120  <br /><br />    Special $90.00 or 25% - Specials are Skipped  <br /><br />    Sale is -$5.00  <br /><br />      Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		TEST $120 Special $90.00 Sale -$5.00 Skip	Product is $120  <br /><br />    Special $90.00 or 25% - Specials are Skipped  <br /><br />    Sale is -$5.00  <br /><br />      Attributes:<br />  Color:<br />  - Red $100.00<br />  - Orange $50.00<br />  - Yellow $75  <br /><br />    Size:<br />  Select from Below:<br />  Small $50.00<br />  Medium $75.00<br />  Large $100.00  <br /><br />    Gift Options:<br />  - Dated Collector's Tin $50.00<br />  - Autographed Memorabila Card $75.00<br />  - Wrapping $100.00  <br /><br />    NOTE: Select from below is defined as a Display Only Attribute and NOT to be included in the base price.   <br /><br />  The Display Only means, the customer may NOT select this option value. If they do not selected another option value, then the product cannot be added to the shopping cart.  <br /><br />  The NOT included in base price means, if this product were priced by attributes, it would not be include. The reason for this is so that the lowest price of this group will be the Small at $50.00 and not Select from Below at $0.00  <br /><br />		90.0000	0001-01-01	0001-01-01	120	1	0000-00-00 00:00:00	2004-01-24 16:10:12	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
	1506.jpg	123123123123	<h1><span style="font-family: comic sans ms,sans-serif; color: #ff0000;">133333333333333333333333333333333333</span></h1>		123123123123	<h1><span style="font-family: comic sans ms,sans-serif; color: #ff0000;">133333333333333333333333333333333333</span></h1>					1231	0	0000-00-00 00:00:00	2008-07-21 15:56:06	0		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	1	EOREOR
		123123aa	<p><ins>12321312312311:01:2012-08-2008</ins><img style="float: right;" src="/lightinthebox/images//dvd/a_bugs_life_01.gif" alt="a_bugs_life_01.gif" width="100" height="80" /></p>		123123aa	<p><ins>12321312312311:01:2012-08-2008</ins><img style="float: right;" src="/lightinthebox/images//dvd/a_bugs_life_01.gif" alt="a_bugs_life_01.gif" width="100" height="80" /></p>					1231	0	0000-00-00 00:00:00	2008-07-21 16:03:05	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	0	EOREOR
	1506.jpg	1231231	<p>123123133333333333</p>		1231231	<p>123123133333333333</p>					2312	0	0000-00-00 00:00:00	2008-07-21 16:39:50	0	Fox	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	1	EOREOR
31231231		23123123	<p>s33333333333333</p>		23123123	<p>s33333333333333</p>					333	12	0000-00-00 00:00:00	2008-08-23 09:27:35	123		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
3123	../images/medium/12194573390.jpg,12194578200.jpg,12194578211.jpg	121sssss	<p>sssssss</p>	ssssss	121sssss	<p>sssssss</p>	ssssss				123	12	0000-00-00 00:00:00	2008-08-23 09:47:56	123		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
234adfasd	dvd/12194568660.jpg	22222sdfasdfasdfa	<p>12fasdfasdfasdfadfasdf</p>		22222sdfasdfasdfa	<p>12fasdfasdfasdfadfasdf</p>					123	12	0000-00-00 00:00:00	2008-08-23 10:01:16	123123		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
asdfj	../images/dvd/medium//12194582830.jpg,../images/dvd/medium//12194582841.jpg	test1	<p>1111111111111111sdf</p>		test1	<p>1111111111111111sdf</p>					33	12312	0000-00-00 00:00:00	2008-08-23 10:25:05	123		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	1	EOREOR
	12194583440.jpg,12194583441.jpg	test2			test2						0	0	0000-00-00 00:00:00	2008-08-23 10:26:35	0		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	1	EOREOR
IO8328828	../images/../images/medium/medium//12194588120.jpg,../images/../images/medium/medium//12194588131.jpg,../images/../images/medium/medium//12194588152.jpg,../images/../images/medium/medium//12194588163.jpg	six picture	<p>sssssssssssssssssssdf</p>  <p>s</p>  <p>df</p>  <p>&nbsp;</p>  <p>sd</p>  <p>f</p>  <p>s</p>  <p>df</p>  <p>a</p>  <p>sd</p>  <p>f</p>  <p>asdf</p>  <p>asdf</p>  <table border="1">  <thead>   <tr>  <td>Column 1</td>  <td>Column 2</td>  </tr>  </thead>   <tbody>  <tr>  <td>Username: {$username}</td>  <td>Staffid: {$staffid}</td>  </tr>  </tbody>  </table>		six picture	<p>sssssssssssssssssssdf</p>  <p>s</p>  <p>df</p>  <p>&nbsp;</p>  <p>sd</p>  <p>f</p>  <p>s</p>  <p>df</p>  <p>a</p>  <p>sd</p>  <p>f</p>  <p>asdf</p>  <p>asdf</p>  <table border="1">  <thead>   <tr>  <td>Column 1</td>  <td>Column 2</td>  </tr>  </thead>   <tbody>  <tr>  <td>Username: {$username}</td>  <td>Staffid: {$staffid}</td>  </tr>  </tbody>  </table>					3333	10	0000-00-00 00:00:00	2008-08-23 10:28:12	300		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
123123	12194655790.jpg,12194655811.jpg,12194655822.jpg	test products	<p class="static_h1">ssdfa</p>  <p class="static_h1">a</p>  <p class="static_h1">dfasdf</p>  <p><span class="static_h1">asdf</span></p>		test products	<p class="static_h1">ssdfa</p>  <p class="static_h1">a</p>  <p class="static_h1">dfasdf</p>  <p><span class="static_h1">asdf</span></p>					23	12	0000-00-00 00:00:00	2008-08-23 12:26:28	1234		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
000192	s/200808/12196922800.jpg,s/200808/12196929620.jpg,s/200808/12196929621.jpg,s/200808/12196929622.jpg,s/200808/12196929633.jpg,s/200808/12196929634.jpg,s/200808/12196929635.jpg,s/200808/12196929636.jpg	test product1	<p>This is just some <strong>code</strong>.</p>  <p class="border_b">This is just some <strong>code</strong>.</p>  <div class="notice_1">  <ul class="mycon" style="font-size: 12px; color: #204f13;">  <div style="font-weight: bold; font-size: 16px;"><span class="red">Must Read before You Make The Order<br /></span></div>  <strong>1. About Size Choice:</strong> Carefully view the SIZE on both Length and Chest beofore placing your order, as the Jersey is a non-refundable product.<br /><strong>3. About Item Request:</strong> To prevent you from writing an item request in a review , Pls kindly refer following steps when you are ordering: you should submit your item request in COMMENT BOX which will show up after you complete the SHIPPING ADDRESS and PAYMENT METHOD.<br /><strong></strong>  </ul>  <strong><em></em></strong></div>		test product1	<p>This is just some <strong>code</strong>.</p>  <p class="border_b">This is just some <strong>code</strong>.</p>  <div class="notice_1">  <ul class="mycon" style="font-size: 12px; color: #204f13;">  <div style="font-weight: bold; font-size: 16px;"><span class="red">Must Read before You Make The Order<br /></span></div>  <strong>1. About Size Choice:</strong> Carefully view the SIZE on both Length and Chest beofore placing your order, as the Jersey is a non-refundable product.<br /><strong>3. About Item Request:</strong> To prevent you from writing an item request in a review , Pls kindly refer following steps when you are ordering: you should submit your item request in COMMENT BOX which will show up after you complete the SHIPPING ADDRESS and PAYMENT METHOD.<br /><strong></strong>  </ul>  <strong><em></em></strong></div>					300	10	0000-00-00 00:00:00	2008-08-26 03:24:50	98		test							--none--	1	EOREOR
080808008	s/200808/12197417440.jpg,s/200808/12197613110.jpg	test products 2	<p>asdfasdf</p>  <div class="notice_1">  <ul class="mycon" style="font-size: 12px; color: #204f13;">  <div style="font-weight: bold; font-size: 16px;"><span class="red">Must Read before You Make The Order<br /> </span></div>  <strong>1. About Size Choice:</strong> Carefully view the SIZE on both Length and Chest beofore placing your order, as the Jersey is a non-refundable product.<br /><strong>3. About Item Request:</strong> To prevent you from writing an item request in a review , Pls kindly refer following steps when you are ordering: you should submit your item request in COMMENT BOX which will show up after you complete the SHIPPING ADDRESS and PAYMENT METHOD.<br /><br />   </ul>  </div>  <div><br /></div>  <div><br /></div>  <div>sdfsdf<br />   <table class="table" style="height: 77px;" border="0" cellspacing="1" cellpadding="0" width="525" align="left" bgcolor="#666666">  <tbody>  <tr>  <td bgcolor="#dbeef4">wolfregion</td>  <td bgcolor="#ffffff">newtiel<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keasfasdys</td>  <td bgcolor="#ffffff">Valufaesdfasdfs<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keysdfasdfas<br /></td>  <td bgcolor="#ffffff">fasdfasdf</td>  </tr>  </tbody>  </table>  </div>		test products 2	<p>asdfasdf</p>  <div class="notice_1">  <ul class="mycon" style="font-size: 12px; color: #204f13;">  <div style="font-weight: bold; font-size: 16px;"><span class="red">Must Read before You Make The Order<br /> </span></div>  <strong>1. About Size Choice:</strong> Carefully view the SIZE on both Length and Chest beofore placing your order, as the Jersey is a non-refundable product.<br /><strong>3. About Item Request:</strong> To prevent you from writing an item request in a review , Pls kindly refer following steps when you are ordering: you should submit your item request in COMMENT BOX which will show up after you complete the SHIPPING ADDRESS and PAYMENT METHOD.<br /><br />   </ul>  </div>  <div><br /></div>  <div><br /></div>  <div>sdfsdf<br />   <table class="table" style="height: 77px;" border="0" cellspacing="1" cellpadding="0" width="525" align="left" bgcolor="#666666">  <tbody>  <tr>  <td bgcolor="#dbeef4">wolfregion</td>  <td bgcolor="#ffffff">newtiel<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keasfasdys</td>  <td bgcolor="#ffffff">Valufaesdfasdfs<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keysdfasdfas<br /></td>  <td bgcolor="#ffffff">fasdfasdf</td>  </tr>  </tbody>  </table>  </div>					290	10	0000-00-00 00:00:00	2008-08-26 17:09:13	996		test							Taxable Goods	1	EOREOR
20080708	s/200808/12197617300.jpg,s/200808/12197617301.jpg,s/200808/12197617302.jpg,s/200808/12197617313.jpg,s/200808/12197617314.jpg,s/200808/12197617315.jpg	test products3	<p>dwolfregion</p>  <table class="table" style="height: 80px;" border="0" cellspacing="1" cellpadding="0" width="515" align="left" bgcolor="#666666">  <tbody>  <tr>  <td bgcolor="#dbeef4">Keys</td>  <td bgcolor="#ffffff">Values<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keys</td>  <td bgcolor="#ffffff">Values<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keys<br /></td>  <td bgcolor="#ffffff">Values</td>  </tr>  </tbody>  </table>  <p>ddd</p>		test products3	<p>dwolfregion</p>  <table class="table" style="height: 80px;" border="0" cellspacing="1" cellpadding="0" width="515" align="left" bgcolor="#666666">  <tbody>  <tr>  <td bgcolor="#dbeef4">Keys</td>  <td bgcolor="#ffffff">Values<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keys</td>  <td bgcolor="#ffffff">Values<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keys<br /></td>  <td bgcolor="#ffffff">Values</td>  </tr>  </tbody>  </table>  <p>ddd</p>					200	10	0000-00-00 00:00:00	2008-08-26 22:42:15	197		test							Taxable Goods	1	EOREOR
080808008	s/200808/12197417440.jpg,s/200808/12197613110.jpg	Test Products 4	<p>asdfasdf</p>  <div class="notice_1">  <ul class="mycon" style="font-size: 12px; color: #204f13;">  <div style="font-weight: bold; font-size: 16px;"><span class="red">Must Read before You Make The Order<br /> </span></div>  <strong>1. About Size Choice:</strong> Carefully view the SIZE on both Length and Chest beofore placing your order, as the Jersey is a non-refundable product.<br /><strong>3. About Item Request:</strong> To prevent you from writing an item request in a review , Pls kindly refer following steps when you are ordering: you should submit your item request in COMMENT BOX which will show up after you complete the SHIPPING ADDRESS and PAYMENT METHOD.<br /><br />   </ul>  </div>  <div><br /></div>  <div><br /></div>  <div>sdfsdf<br />   <table class="table" style="height: 77px;" border="0" cellspacing="1" cellpadding="0" width="525" align="left" bgcolor="#666666">  <tbody>  <tr>  <td bgcolor="#dbeef4">wolfregion</td>  <td bgcolor="#ffffff">newtiel<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keasfasdys</td>  <td bgcolor="#ffffff">Valufaesdfasdfs<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keysdfasdfas<br /></td>  <td bgcolor="#ffffff">fasdfasdf</td>  </tr>  </tbody>  </table>  </div>		Test Products 4	<p>asdfasdf</p>  <div class="notice_1">  <ul class="mycon" style="font-size: 12px; color: #204f13;">  <div style="font-weight: bold; font-size: 16px;"><span class="red">Must Read before You Make The Order<br /> </span></div>  <strong>1. About Size Choice:</strong> Carefully view the SIZE on both Length and Chest beofore placing your order, as the Jersey is a non-refundable product.<br /><strong>3. About Item Request:</strong> To prevent you from writing an item request in a review , Pls kindly refer following steps when you are ordering: you should submit your item request in COMMENT BOX which will show up after you complete the SHIPPING ADDRESS and PAYMENT METHOD.<br /><br />   </ul>  </div>  <div><br /></div>  <div><br /></div>  <div>sdfsdf<br />   <table class="table" style="height: 77px;" border="0" cellspacing="1" cellpadding="0" width="525" align="left" bgcolor="#666666">  <tbody>  <tr>  <td bgcolor="#dbeef4">wolfregion</td>  <td bgcolor="#ffffff">newtiel<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keasfasdys</td>  <td bgcolor="#ffffff">Valufaesdfasdfs<br /></td>  </tr>  <tr>  <td bgcolor="#dbeef4">Keysdfasdfas<br /></td>  <td bgcolor="#ffffff">fasdfasdf</td>  </tr>  </tbody>  </table>  </div>					250	10	0000-00-00 00:00:00	2008-09-02 11:07:23	832		ssssssssss							Taxable Goods	1	EOREOR
